"Notes"	"State"	"State Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Year of Death"	"Year of Death Code"	"Month"	"Month Code"	Deaths	Births	Death Rate
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"March"	"3"	14	6856	2.04 (Unreliable)
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"September"	"9"	18	8411	2.14 (Unreliable)
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"September"	"9"	10	4434	2.26 (Unreliable)
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"December"	"12"	10	4353	2.30 (Unreliable)
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"September"	"9"	20	8634	2.32
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"October"	"10"	20	8200	2.44
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"July"	"7"	20	7768	2.57
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"July"	"7"	22	8531	2.58
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"November"	"11"	21	8120	2.59
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"August"	"8"	23	8856	2.60
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"November"	"11"	18	6854	2.63 (Unreliable)
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"October"	"10"	10	3803	2.63 (Unreliable)
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"January"	"1"	21	7839	2.68
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"February"	"2"	20	7449	2.68
