state,age_of_mother,mothers_single_race,year_of_death,month_code,month,death_rate,after_injunction,abortion_illegal,reliable,date
California,25-29,White,2022,3,March,2.04,0,0,Unreliable,2022-03-01
California,30-34,White,2022,9,September,2.14,1,0,Unreliable,2022-09-01
Florida,30-34,White,2021,9,September,2.26,0,0,Unreliable,2021-09-01
Florida,30-34,White,2021,12,December,2.3,0,0,Unreliable,2021-12-01
California,30-34,White,2021,9,September,2.32,0,0,Reliable,2021-09-01
California,30-34,White,2022,10,October,2.44,1,0,Reliable,2022-10-01
Texas,25-29,White,2021,7,July,2.57,0,1,Reliable,2021-07-01
California,30-34,White,2022,7,July,2.58,1,0,Reliable,2022-07-01
California,30-34,White,2022,11,November,2.59,1,0,Reliable,2022-11-01
California,30-34,White,2021,8,August,2.6,0,0,Reliable,2021-08-01
Texas,30-34,White,2021,11,November,2.63,0,1,Unreliable,2021-11-01
Florida,25-29,White,2022,10,October,2.63,1,0,Unreliable,2022-10-01
California,30-34,White,2022,1,January,2.68,0,0,Reliable,2022-01-01
California,30-34,White,2022,2,February,2.68,0,0,Reliable,2022-02-01
California,25-29,White,2021,2,February,2.7,0,0,Unreliable,2021-02-01
Florida,30-34,White,2021,1,January,2.72,0,0,Unreliable,2021-01-01
California,30-34,White,2022,6,June,2.73,1,0,Reliable,2022-06-01
California,25-29,White,2021,4,April,2.73,0,0,Unreliable,2021-04-01
California,30-34,White,2022,4,April,2.78,0,0,Reliable,2022-04-01
California,25-29,White,2022,11,November,2.78,1,0,Unreliable,2022-11-01
California,25-29,White,2022,9,September,2.79,1,0,Reliable,2022-09-01
Texas,30-34,White,2021,12,December,2.85,0,1,Reliable,2021-12-01
New York,30-34,White,2022,2,February,2.86,0,0,Unreliable,2022-02-01
Texas,20-24,White,2021,10,October,2.88,0,1,Unreliable,2021-10-01
New York,30-34,White,2021,11,November,2.9,0,0,Unreliable,2021-11-01
New York,30-34,White,2021,9,September,2.91,0,0,Unreliable,2021-09-01
California,30-34,White,2021,3,March,2.91,0,0,Reliable,2021-03-01
Florida,25-29,White,2021,12,December,2.92,0,0,Unreliable,2021-12-01
Florida,25-29,White,2021,3,March,2.92,0,0,Unreliable,2021-03-01
New York,30-34,White,2021,7,July,2.95,0,0,Unreliable,2021-07-01
New York,30-34,White,2022,4,April,2.96,0,0,Unreliable,2022-04-01
California,25-29,White,2021,1,January,3.04,0,0,Unreliable,2021-01-01
California,25-29,White,2021,9,September,3.05,0,0,Reliable,2021-09-01
Florida,30-34,White,2021,8,August,3.08,0,0,Unreliable,2021-08-01
Texas,30-34,White,2022,10,October,3.08,1,1,Reliable,2022-10-01
California,20-24,White,2021,2,February,3.11,0,0,Unreliable,2021-02-01
Texas,30-34,White,2022,5,May,3.15,0,1,Reliable,2022-05-01
Pennsylvania,30-34,White,2021,8,August,3.16,0,0,Unreliable,2021-08-01
Texas,30-34,White,2022,3,March,3.16,0,1,Reliable,2022-03-01
California,30-34,White,2021,11,November,3.18,0,0,Reliable,2021-11-01
California,20-24,White,2022,6,June,3.25,1,0,Unreliable,2022-06-01
California,25-29,White,2022,2,February,3.25,0,0,Reliable,2022-02-01
Florida,30-34,White,2022,11,November,3.25,1,0,Unreliable,2022-11-01
California,20-24,White,2021,11,November,3.25,0,0,Unreliable,2021-11-01
Florida,30-34,White,2021,3,March,3.27,0,0,Unreliable,2021-03-01
New York,30-34,White,2022,8,August,3.27,1,0,Unreliable,2022-08-01
California,30-34,White,2022,5,May,3.29,0,0,Reliable,2022-05-01
California,25-29,White,2021,12,December,3.3,0,0,Reliable,2021-12-01
Florida,25-29,White,2022,5,May,3.31,0,0,Unreliable,2022-05-01
New York,30-34,White,2021,3,March,3.31,0,0,Unreliable,2021-03-01
Texas,20-24,White,2021,8,August,3.32,0,1,Unreliable,2021-08-01
Florida,25-29,White,2021,8,August,3.34,0,0,Unreliable,2021-08-01
California,25-29,White,2022,1,January,3.37,0,0,Reliable,2022-01-01
Florida,25-29,White,2022,7,July,3.39,1,0,Unreliable,2022-07-01
Florida,25-29,White,2021,11,November,3.41,0,0,Unreliable,2021-11-01
Texas,30-34,White,2021,10,October,3.42,0,1,Reliable,2021-10-01
California,30-34,White,2021,7,July,3.44,0,0,Reliable,2021-07-01
California,30-34,White,2021,10,October,3.5,0,0,Reliable,2021-10-01
California,25-29,White,2021,6,June,3.5,0,0,Reliable,2021-06-01
California,20-24,White,2021,5,May,3.52,0,0,Unreliable,2021-05-01
Texas,25-29,White,2022,2,February,3.53,0,1,Reliable,2022-02-01
California,25-29,White,2022,10,October,3.53,1,0,Reliable,2022-10-01
New York,30-34,White,2021,5,May,3.54,0,0,Unreliable,2021-05-01
California,30-34,White,2021,12,December,3.54,0,0,Reliable,2021-12-01
Florida,30-34,White,2022,4,April,3.54,0,0,Unreliable,2022-04-01
Florida,25-29,White,2021,1,January,3.55,0,0,Unreliable,2021-01-01
Texas,25-29,White,2021,12,December,3.57,0,1,Reliable,2021-12-01
California,25-29,White,2021,11,November,3.59,0,0,Reliable,2021-11-01
California,30-34,White,2021,2,February,3.62,0,0,Reliable,2021-02-01
Texas,30-34,White,2021,1,January,3.62,0,1,Reliable,2021-01-01
Pennsylvania,30-34,White,2022,3,March,3.63,0,0,Unreliable,2022-03-01
Florida,30-34,White,2022,12,December,3.63,1,0,Unreliable,2022-12-01
Texas,30-34,White,2021,9,September,3.63,0,1,Reliable,2021-09-01
California,25-29,White,2022,8,August,3.64,1,0,Reliable,2022-08-01
New York,25-29,White,2022,5,May,3.64,0,0,Unreliable,2022-05-01
California,30-34,White,2021,5,May,3.64,0,0,Reliable,2021-05-01
California,30-34,White,2021,4,April,3.64,0,0,Reliable,2021-04-01
California,25-29,White,2022,6,June,3.65,1,0,Reliable,2022-06-01
Florida,25-29,White,2022,1,January,3.65,0,0,Unreliable,2022-01-01
California,20-24,White,2022,5,May,3.66,0,0,Unreliable,2022-05-01
California,25-29,White,2021,7,July,3.66,0,0,Reliable,2021-07-01
California,25-29,White,2021,10,October,3.7,0,0,Reliable,2021-10-01
Florida,25-29,White,2021,10,October,3.7,0,0,Unreliable,2021-10-01
Ohio,30-34,White,2021,9,September,3.71,0,0,Unreliable,2021-09-01
Texas,25-29,White,2021,11,November,3.77,0,1,Reliable,2021-11-01
Texas,25-29,White,2021,2,February,3.79,0,1,Reliable,2021-02-01
New York,30-34,White,2022,5,May,3.79,0,0,Unreliable,2022-05-01
Florida,25-29,White,2022,3,March,3.79,0,0,Unreliable,2022-03-01
Texas,30-34,White,2022,6,June,3.81,1,1,Reliable,2022-06-01
California,30-34,White,2021,6,June,3.81,0,0,Reliable,2021-06-01
California,20-24,White,2022,11,November,3.82,1,0,Unreliable,2022-11-01
Pennsylvania,30-34,White,2022,8,August,3.84,1,0,Unreliable,2022-08-01
Illinois,30-34,White,2021,8,August,3.89,0,0,Unreliable,2021-08-01
New York,30-34,White,2022,6,June,3.89,1,0,Unreliable,2022-06-01
California,25-29,White,2021,3,March,3.9,0,0,Reliable,2021-03-01
Texas,20-24,White,2022,8,August,3.9,1,1,Reliable,2022-08-01
Texas,25-29,White,2021,6,June,3.91,0,1,Reliable,2021-06-01
California,25-29,White,2022,12,December,3.91,1,0,Reliable,2022-12-01
California,30-34,White,2022,3,March,3.92,0,0,Reliable,2022-03-01
Ohio,30-34,White,2021,4,April,3.93,0,0,Unreliable,2021-04-01
Florida,30-34,White,2022,2,February,3.93,0,0,Unreliable,2022-02-01
Texas,25-29,White,2021,10,October,3.94,0,1,Reliable,2021-10-01
Ohio,30-34,White,2021,6,June,3.95,0,0,Unreliable,2021-06-01
Pennsylvania,25-29,White,2021,8,August,3.97,0,0,Unreliable,2021-08-01
Illinois,30-34,White,2022,5,May,3.98,0,0,Unreliable,2022-05-01
