"","Notes","State","State.Code","Age.of.Mother.9","Age.of.Mother.9.Code","Mother.s.Single.Race.6","Mother.s.Single.Race.6.Code","Year.of.Death","Year.of.Death.Code","Month","Month.Code","Deaths","Births","Death.Rate"
"1","","California",6,"25-29 years","25-29","White","2106-3",2022,2022,"March",3,14,6856,"2.04 (Unreliable)"
"2","","California",6,"30-34 years","30-34","White","2106-3",2022,2022,"September",9,18,8411,"2.14 (Unreliable)"
"3","","Florida",12,"30-34 years","30-34","White","2106-3",2021,2021,"September",9,10,4434,"2.26 (Unreliable)"
"4","","Florida",12,"30-34 years","30-34","White","2106-3",2021,2021,"December",12,10,4353,"2.30 (Unreliable)"
"5","","California",6,"30-34 years","30-34","White","2106-3",2021,2021,"September",9,20,8634,"2.32"
"6","","California",6,"30-34 years","30-34","White","2106-3",2022,2022,"October",10,20,8200,"2.44"
"7","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"July",7,20,7768,"2.57"
"8","","California",6,"30-34 years","30-34","White","2106-3",2022,2022,"July",7,22,8531,"2.58"
"9","","California",6,"30-34 years","30-34","White","2106-3",2022,2022,"November",11,21,8120,"2.59"
"10","","California",6,"30-34 years","30-34","White","2106-3",2021,2021,"August",8,23,8856,"2.60"
"11","","Texas",48,"30-34 years","30-34","White","2106-3",2021,2021,"November",11,18,6854,"2.63 (Unreliable)"
"12","","Florida",12,"25-29 years","25-29","White","2106-3",2022,2022,"October",10,10,3803,"2.63 (Unreliable)"
"13","","California",6,"30-34 years","30-34","White","2106-3",2022,2022,"January",1,21,7839,"2.68"
"14","","California",6,"30-34 years","30-34","White","2106-3",2022,2022,"February",2,20,7449,"2.68"
"15","","California",6,"25-29 years","25-29","White","2106-3",2021,2021,"February",2,16,5926,"2.70 (Unreliable)"
"16","","Florida",12,"30-34 years","30-34","White","2106-3",2021,2021,"January",1,10,3674,"2.72 (Unreliable)"
"17","","California",6,"30-34 years","30-34","White","2106-3",2022,2022,"June",6,22,8065,"2.73"
"18","","California",6,"25-29 years","25-29","White","2106-3",2021,2021,"April",4,18,6597,"2.73 (Unreliable)"
"19","","California",6,"30-34 years","30-34","White","2106-3",2022,2022,"April",4,21,7558,"2.78"
"20","","California",6,"25-29 years","25-29","White","2106-3",2022,2022,"November",11,19,6829,"2.78 (Unreliable)"
"21","","California",6,"25-29 years","25-29","White","2106-3",2022,2022,"September",9,20,7174,"2.79"
"22","","Texas",48,"30-34 years","30-34","White","2106-3",2021,2021,"December",12,20,7011,"2.85"
"23","","New York",36,"30-34 years","30-34","White","2106-3",2022,2022,"February",2,10,3491,"2.86 (Unreliable)"
"24","","Texas",48,"20-24 years","20-24","White","2106-3",2021,2021,"October",10,16,5559,"2.88 (Unreliable)"
"25","","New York",36,"30-34 years","30-34","White","2106-3",2021,2021,"November",11,11,3787,"2.90 (Unreliable)"
"26","","New York",36,"30-34 years","30-34","White","2106-3",2021,2021,"September",9,12,4130,"2.91 (Unreliable)"
"27","","California",6,"30-34 years","30-34","White","2106-3",2021,2021,"March",3,23,7907,"2.91"
